ID,ACTIVITY_ID,QUESTION,IMAGE,TYPE,Category,LINK,,,,,,,,,,,,,,,,,,,
1,1,"What does the ""Stop Sign"" mean?",beginner1_stopsign.png,text,NORMAL,https://drive.google.com/open?id=1AY5_lBVEnag_Hv7pqu45xA5bios0hnWo&usp=drive_copy,,,,,,,,,,,,,,,,,,,
2,1,"What does the ""Give Way Sign"" mean?",beginner2_giveway.png,text,NORMAL,https://drive.google.com/open?id=1g8yyKdgDsZL5Eq0BVQW0_afeSzGHwA6O&usp=drive_copy,,,,,,,,,,,,,,,,,,,
3,1,"What does the ""Left Turner Must Give Way"" sign mean?",beginner3_leftturner.png,text,NORMAL,https://drive.google.com/open?id=10AjA3yKqheSlSfEGGPBsR9SWPIMYl5dU&usp=drive_copy,,,,,,,,,,,,,,,,,,,
4,1,"What does the ""No Turns"" sign mean?",beginner4_noturns.png,text,NORMAL,https://drive.google.com/open?id=1fzjCkwe9LY8ZGITT8hFLBjyzQi4Zbmbj&usp=drive_copy,,,,,,,,,,,,,,,,,,,
5,1,"What does the ""One Way"" sign mean?",beginner5_oneway.png,text,NORMAL,https://drive.google.com/open?id=14FnQJQ5AdI_EW3E1kKACBSomaATZSoOJ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
6,1,"What does the ""Keep Right"" sign mean?",beginner6_keepright.png,text,NORMAL,https://drive.google.com/open?id=1dBlPOusLwpIAP3YeFkSbtwV89xm3xSad&usp=drive_copy,,,,,,,,,,,,,,,,,,,
7,1,"What does the ""Keep Left"" sign say?",beginner7_keepleft.webp,text,NORMAL,https://drive.google.com/open?id=14c3tYCXQy85c98hOLzCm65h8ALTmf5bL&usp=drive_copy,,,,,,,,,,,,,,,,,,,
8,1,"What does the ""Merging Traffic"" sign mean?",beginner10_mergingtraffic.png,text,NORMAL,https://drive.google.com/open?id=1ELbXw63GqJ9-puUhjMvbNPoXpOMrcqNw&usp=drive_copy,,,,,,,,,,,,,,,,,,,
9,1,"What does the ""No Entry for All Vehicles"" sign indicate?",beginner12_noentry.png,text,NORMAL,https://drive.google.com/open?id=1ShfRmIVk-ATngSCmEdFeTCoE4cVf1HLL&usp=drive_copy,,,,,,,,,,,,,,,,,,,
10,1,"What does the ""No Entry for Tricycles"" sign indicate?",beginner17_noentryfortricycles.png,text,NORMAL,https://drive.google.com/open?id=1yeZCqEIf7EPYSM7ULYoa3kPtGytkA5Dc&usp=drive_copy,,,,,,,,,,,,,,,,,,,
11,1,"What does the ""Use Overpass"" sign indicate?",beginner19_useoverpass.png,text,NORMAL,https://drive.google.com/open?id=1hCLYGafNMwlSNkDPThU7S_oOj61onyB0&usp=drive_copy,,,,,,,,,,,,,,,,,,,
12,1,"What does the ""No Right Turn"" sign mean?",beginner21_noright.png,text,NORMAL,https://drive.google.com/open?id=16Vilc3gAAIRmW9d0ERfnhj0PDHbWLbXt&usp=drive_copy,,,,,,,,,,,,,,,,,,,
13,1,"What does the ""No Left Turn"" sign mean?",beginner22_noleft.png,text,NORMAL,https://drive.google.com/open?id=1xRwwNxusNlp-YWOVZJKnEcpE6-diSMdK&usp=drive_copy,,,,,,,,,,,,,,,,,,,
14,1,"What does the ""No U-Turn"" sign indicate?",beginner23_nouturn.png,text,NORMAL,https://drive.google.com/open?id=1YyLcEkAMEwgcV4FRsd6iFLGoywhVkjVK&usp=drive_copy,,,,,,,,,,,,,,,,,,,
15,1,"What does the ""No Overtaking Zone"" sign signify?",beginner24_noovertaking.webp,text,NORMAL,https://drive.google.com/open?id=1W7jPpbgbMoTiHcVhuI5b0U0HmSvyT0mo&usp=drive_copy,,,,,,,,,,,,,,,,,,,
16,1,"What does a ""Maximum Speed Restriction"" sign mean?",beginner25_maximumspeed.png,text,NORMAL,https://drive.google.com/open?id=1D8FJvecfvR5uDauqX1iJfwBXo1KsEp8E&usp=drive_copy,,,,,,,,,,,,,,,,,,,
17,1,"What does the sign ""Loading and Unloading Zone"" indicate?",beginner28_loadingandunloading.png,text,NORMAL,https://drive.google.com/open?id=1j-Zql6aPypzimFZ--9D5neluWBwDJTIO&usp=drive_copy,,,,,,,,,,,,,,,,,,,
18,1,"What does the ""No Loading and Unloading Anytime"" sign indicate?",beginner30_noloading.png,text,NORMAL,https://drive.google.com/open?id=1niWBI8uss9z0etaBIJNLq0j6FZm7TL68&usp=drive_copy,,,,,,,,,,,,,,,,,,,
19,1,"What does the ""Bawal Magsakay at Magbaba"" sign mean?",beginner31_bawalmagsakay.png,text,NORMAL,https://drive.google.com/open?id=1-ttZdhYgmsi2A9VLmWS3zTushXXJg2nl&usp=drive_copy,,,,,,,,,,,,,,,,,,,
20,1,"What does the ""No Parking"" sign indicate?",beginner32_noparking.png,text,NORMAL,https://drive.google.com/open?id=1lZEoE2DI1Wasj51dF6N-q7OuWCP621HR&usp=drive_copy,,,,,,,,,,,,,,,,,,,
21,1,"The meaning of a ""No Parking: Bawal Pumarada"" sign is?",beginner33_noparkingbawalpumarada.png,text,NORMAL,https://drive.google.com/open?id=1qiMnCYW6ChjjfO5oKbF0bV6ggirnk5PQ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
22,1,"Interpretation of what a ""No Parking: Tow-Away Zone"" sign denotes",beginner34_noparkingtowawayzone.webp,text,NORMAL,https://drive.google.com/open?id=1MmVAE7O27hGqyCWZiqXh7vtGbw9Y65-L&usp=drive_copy,,,,,,,,,,,,,,,,,,,
23,1,"What does the ""No Parking Anytime from Monday-Friday"" sign signify?",beginner35_noparkinganytime.png,text,NORMAL,https://drive.google.com/open?id=1ZlnJnpUnjYUMmuvVSgY9kTx3B3rghNZ8&usp=drive_copy,,,,,,,,,,,,,,,,,,,
24,1,"What does the ""Use Seat Belt Sign"" mean?",beginner37_useseatbelt.png,text,NORMAL,https://drive.google.com/open?id=1CDk6x2u3K7f1-dVrDUld_0ARsWBDBcvo&usp=drive_copy,,,,,,,,,,,,,,,,,,,
25,1,"What is the meaning of the ""No Blowing of Horns"" sign?",beginner38_noblowing.png,text,NORMAL,https://drive.google.com/open?id=1dFTBUY0w1Bpb4ROBlDpaiI9W_DbkoCZb&usp=drive_copy,,,,,,,,,,,,,,,,,,,
26,1,"What does the sign ""Be Aware of Pedestrian Crossing"" mean?",beginner39_beawareofpedestrian.webp,text,NORMAL,https://drive.google.com/open?id=1oqKZsnrJQc6yxOshQIYRX2Na-u5mHVLV&usp=drive_copy,,,,,,,,,,,,,,,,,,,
27,1,"What does the sign ""Be Aware of School Children Crossing"" mean?",beginner40_beawareofschool.png,text,NORMAL,https://drive.google.com/open?id=1w_9PA99BPo04jhyMdXllFf2FNIK1_C1w&usp=drive_copy,,,,,,,,,,,,,,,,,,,
28,1,"What does the sign ""Bike Lane Ahead"" mean?",beginner41_bikelaneahead.png,text,NORMAL,https://drive.google.com/open?id=1djvZMAjj8uXfG6e4lb4FvTFdjc4fFRAr&usp=drive_copy,,,,,,,,,,,,,,,,,,,
29,1,"What does the ""Be Aware of Persons with Disabilities Crossing"" sign mean?",beginner42_beawareofpersonswith.webp,text,NORMAL,https://drive.google.com/open?id=1TFxL2QOfP5NM5JD3c9-5z9kpUIQWHttt&usp=drive_copy,,,,,,,,,,,,,,,,,,,
30,1,"What does ""Sharp Turn (Right)"" say?",beginner43_sharpturnright.webp,text,NORMAL,https://drive.google.com/open?id=12NrziNbEAUQOhgB-DyNog42tmFevyxZQ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
31,1,"What does the ""Curve (Right)"" sign indicate?",beginner47_curveright.webp,text,NORMAL,https://drive.google.com/open?id=1oi29Q9w1LZxK73HJzZsilxeMZqd75ogY&usp=drive_copy,,,,,,,,,,,,,,,,,,,
32,1,"What does the ""Curve (Left)"" sign mean?",beginner48_curveleft.webp,text,NORMAL,https://drive.google.com/open?id=15sUZR-lTbTmP8eQH1Z-pwy-pbn4rJiSe&usp=drive_copy,,,,,,,,,,,,,,,,,,,
33,1,"What does the ""Reverse Curve (Right)"" sign mean?",beginner49_reversecurveright.webp,text,NORMAL,https://drive.google.com/open?id=1lfYgkzzjoGR76x2hHcB7I1Npf3vnZpCG&usp=drive_copy,,,,,,,,,,,,,,,,,,,
34,1,"What does the ""Intersection Ahead"" sign indicate?",beginner55_intersectionahead.png,text,NORMAL,https://drive.google.com/open?id=1IDQ64-Z1Odb99tofKu_WdUaeR45wOuu2&usp=drive_copy,,,,,,,,,,,,,,,,,,,
35,1,"What does the ""Roundabout Ahead"" sign mean?",beginner61_roundabout.webp,text,NORMAL,https://drive.google.com/open?id=1mDdZ4w5loznt7uPyloxGyoeoYOfMpxqr&usp=drive_copy,,,,,,,,,,,,,,,,,,,
36,1,"What does the ""Traffic Lights Ahead"" sign mean?",beginner62_trafficlights.webp,text,NORMAL,https://drive.google.com/open?id=1Y3yBgsX0jAMb977GkDcBhPty8OcloF7m&usp=drive_copy,,,,,,,,,,,,,,,,,,,
37,1,"What does the ""Slow Down, Pedestrian Crossing Ahead"" sign mean?",beginner70_slowdownpedestrian.png,text,NORMAL,https://drive.google.com/open?id=1LnzW6U-lxhkcz1bw2nzQYasLvsDSsM39&usp=drive_copy,,,,,,,,,,,,,,,,,,,
38,1,"What does the ""Pedestrian Crossing Ahead"" sign indicate?",beginner71_pedestriancrossing.png,text,NORMAL,https://drive.google.com/open?id=16FTsoltWApqOlDJ7cCalYGojRxofpV2Y&usp=drive_copy,,,,,,,,,,,,,,,,,,,
39,1,"What does the ""Be Aware and Stop for Children Crossing Ahead"" sign indicate?",beginner72_beawareandstopforchildren.png,text,NORMAL,https://drive.google.com/open?id=1PGqRmn_nOUt02qKbGlc8Vy7V6xuAE5SV&usp=drive_copy,,,,,,,,,,,,,,,,,,,
40,1,"What does the ""Advice to Pedestrians to Cross at Designated Areas"" sign indicate?",beginner74_advicetothepedestrian.png,text,NORMAL,https://drive.google.com/open?id=18CDSyj_QoYAPGZg3phXz7jZ2Ig4C5uar&usp=drive_copy,,,,,,,,,,,,,,,,,,,
41,1,"What does the ""Be Aware and Slow Down on Bike Lane Ahead"" sign mean?",beginner75_beawareandslowdownonbike.png,text,NORMAL,https://drive.google.com/open?id=14ylxXd_7r_L4mij9Cj0Yv-04TtESWAlu&usp=drive_copy,,,,,,,,,,,,,,,,,,,
42,1,"What does ""Signs of School"" indicate?",beginner79_signsofschool.png,text,NORMAL,https://drive.google.com/open?id=1C284zaz9eKownjHBbXKwABt64aR-iZHD&usp=drive_copy,,,,,,,,,,,,,,,,,,,
43,1," What does the ""Signs of Playground"" mean?",beginner80_signsofplayground.png,text,NORMAL,https://drive.google.com/open?id=1GLTx-uCklS78ZMjjthn6ZP5siSTG8x9I&usp=drive_copy,,,,,,,,,,,,,,,,,,,
44,1,"What does the ""Maximum Height of a Vehicle Must Be 4.8 Meters or Less"" sign mean?",beginner81_maximumheight.webp,text,NORMAL,https://drive.google.com/open?id=19KC14spMf4C8Cnedexty7Mh8ep9hUOPJ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
45,1,"What does the ""Slow Down, Accident-Prone Area"" sign mean?",beginner82_slowdownaccident.png,text,NORMAL,https://drive.google.com/open?id=1HaqVPeRrWfjV29tOIiWP97rpsBd8u13S&usp=drive_copy,,,,,,,,,,,,,,,,,,,
46,1,"What does the ""Stack Direction Sign (Multiple Destinations)"" display?",beginner84_stackdirectionsignmultiple.png,text,NORMAL,https://drive.google.com/open?id=1WiWBaoselJoI2nBLbbEJ-IcsjjnNA1wN&usp=drive_copy,,,,,,,,,,,,,,,,,,,
47,1,"What is ""Stack Direction Sign (Single Destination)""?",beginner85_stackdirectionsignsingle.png,text,NORMAL,https://drive.google.com/open?id=1X28XPntvH4LqIKz932jjiQscoBRO5rrB&usp=drive_copy,,,,,,,,,,,,,,,,,,,
48,1,"What does the ""Intersection Direction Sign (Right-Facing)"" indicate?",beginner87_intersectiondirectionsignright.png,text,NORMAL,https://drive.google.com/open?id=1DGta7Wu7cOLyo_1G2rQ44-nDmTVIQFsN&usp=drive_copy,,,,,,,,,,,,,,,,,,,
49,1,"What does the ""Intersection Direction Sign with Route Number and Road Name"" mean?",beginner90_intersectiondirectionsignwithroutenumber.png,text,NORMAL,https://drive.google.com/open?id=1XHMms3FufRfbxOsGEnaV66eXvMDN7lAc&usp=drive_copy,,,,,,,,,,,,,,,,,,,
50,1,"What does the ""Reassurance Direction Sign"" indicate?",beginner91_Reassurancedirectionsign.png,text,NORMAL,https://drive.google.com/open?id=1aepyHSqAeUYF0IIGzJU6ng3JVjoGfY2b&usp=drive_copy,,,,,,,,,,,,,,,,,,,
51,1,"What does a ""Toll Charges"" sign mean?",beginner97_tollcharges.png,text,NORMAL,https://drive.google.com/open?id=1MHRFUILAYcIfZWKKi-EWRJrJzBb2b-30&usp=drive_copy,,,,,,,,,,,,,,,,,,,
52,1,"What does the ""Lane Direction Signs"" indicate?",beginner98_lanedirectionsigns.png,text,NORMAL,https://drive.google.com/open?id=17l08Dmq2H3wNQ3cZtrhn9j6yNUSWkYnt&usp=drive_copy,,,,,,,,,,,,,,,,,,,
53,1,"What does the ""Use Overpass"" sign mean?",beginner100_useoverpass.png,text,NORMAL,https://drive.google.com/open?id=1ORso2gBco-jwXWJ9qjZQDMSugHT6U9tv&usp=drive_copy,,,,,,,,,,,,,,,,,,,
54,1,"What does the ""Check Brakes"" sign mean?",beginner103_checkbrakes.png,text,NORMAL,https://drive.google.com/open?id=1rXVI-FGfvhC9MpNXkhzw0XGMYf1jn4Ik&usp=drive_copy,,,,,,,,,,,,,,,,,,,
55,1,"What does the ""Reduce Speed"" sign mean?",beginner104_reducespeed.png,text,NORMAL,https://drive.google.com/open?id=1DdVwV6dnUkDewhef24Jjc3dCpnmvckL6&usp=drive_copy,,,,,,,,,,,,,,,,,,,
56,1,"What does the ""Road Closed"" sign mean?",beginner107_roadclosed.png,text,NORMAL,https://drive.google.com/open?id=1HaG2JW1lBz1jwBTmmRZ4JYe_vEXOGh4r&usp=drive_copy,,,,,,,,,,,,,,,,,,,
57,1,"What does the ""Road Narrows Ahead "" sign mean?",beginner109_roadnarrowsahead.png,text,NORMAL,https://drive.google.com/open?id=1wfaRSr0JolMa55uz2Oh87HIie6O_q0Ua&usp=drive_copy,,,,,,,,,,,,,,,,,,,
58,1,"What does the ""Narrow Bridge Ahead"" sign indicate?",beginner110_narrowbridgeahead.png,text,NORMAL,https://drive.google.com/open?id=1B3TrF6jziMtds-zbfOf4mfIKoMw_TlxR&usp=drive_copy,,,,,,,,,,,,,,,,,,,
59,1,"What does the ""No Pedestrian Crossing"" sign mean?",beginner18_nopedestrian.webp,text,NORMAL,https://drive.google.com/open?id=1sntxXHDpP-G_4LuiRkdN0xf9CI1Sw7TO&usp=drive_copy,,,,,,,,,,,,,,,,,,,
60,2,"What does the ""Pass Either Side"" sign mean?",advanced1_passeither.png,text,NORMAL,https://drive.google.com/open?id=1M1H0gPBWGvSwsPLcMlZ3aqM7ygIm1Oxl&usp=drive_copy,,,,,,,,,,,,,,,,,,,
61,2,"What does the ""Right Lane Must Turn Right"" sign mean?",advanced3_rightlanemust.webp,text,NORMAL,https://drive.google.com/open?id=1_83FKR4pqlxD6zUyuAbAEmtILNGnVZMn&usp=drive_copy,,,,,,,,,,,,,,,,,,,
62,2,"What does the ""Left Lane Must Turn Left"" sign mean?",advanced4_leftlanemust.png,text,NORMAL,https://drive.google.com/open?id=1a0BTZvZUPa7yHlIEadJQ8VucowRbQwac&usp=drive_copy,,,,,,,,,,,,,,,,,,,
63,2,"What does the ""No Entry for Trucks"" sign imply?",advanced6_noentryfortrucks.png,text,NORMAL,https://drive.google.com/open?id=1u3sCGZ8uSIPSGnp7mcKrwrGwNuzwlQta&usp=drive_copy,,,,,,,,,,,,,,,,,,,
64,2,"What does this ""Y-Junction Ahead""",advanced13_yjunction.webp,text,NORMAL,https://drive.google.com/open?id=1ks_YDNI0l6RVaYWErNKOX0GTosTRGIYA&usp=drive_copy,,,,,,,,,,,,,,,,,,,
65,2,"What does the ""Half Y-Junction Behind (Right)"" sign mean?",advanced16_halfyjunctionbehindright.webp,text,NORMAL,https://drive.google.com/open?id=1MwlfOHROE1gK1hFPlIk-wVkO4sQky0Ot&usp=drive_copy,,,,,,,,,,,,,,,,,,,
66,2,"What does the ""Approach to Intersection Merging Traffic (Right)"" sign mean?",advanced22_apporachtointersectionmergingtrafficright.webp,text,NORMAL,https://drive.google.com/open?id=10THrBhpFo9NUoHnmNl9pV9Bvb4rQBS8y&usp=drive_copy,,,,,,,,,,,,,,,,,,,
67,2,"What does the ""Road Narrows"" sign mean?",advanced25_roadnarrows.png,text,NORMAL,https://drive.google.com/open?id=1yj7El-qow9jdyl4wbrYph4oN-0hj4XlF&usp=drive_copy,,,,,,,,,,,,,,,,,,,
68,2,"What does the ""Diagrammatic Direction Sign"" indicate?",advanced38_diagrammaticdirectionsign.png,text,NORMAL,https://drive.google.com/open?id=1ESa7svutNgz-ZgF2qJ0ffSQSpo6RCVq0&usp=drive_copy,,,,,,,,,,,,,,,,,,,
69,2,"What does the ""Diagrammatic Direction Sign (For Roundabout/Rotunda Junction)"" signify?",advanced39_diagrammaticdirectionsignforroundabout.svg,text,NORMAL,https://drive.google.com/open?id=1Tby4RGHsSkAVnRhnEEAbYNRHUzrAvRL_&usp=drive_copy,,,,,,,,,,,,,,,,,,,
70,2,"What does the ""Service Sign (With Name of Service, Symbols, and Distance)"" signify?",advanced40_servicesignwithnameofservice.png,text,NORMAL,https://drive.google.com/open?id=1HHTmA3y9WQb8mpU1JM_YgsSyR4zXRz1-&usp=drive_copy,,,,,,,,,,,,,,,,,,,
71,3,"What does ""Do Not Block Intersection"" indicate?",expert3_DoNotBlockIntersection.png,text,NORMAL,https://drive.google.com/open?id=1mqLbnOcOLatIzrwQS2h-bz8SAqgHLStE&usp=drive_copy,,,,,,,,,,,,,,,,,,,
72,3,"What does the ""No Entry for Vehicles with Gross Vehicle Mass of More Than 5 Tons"" sign indicate?",expert8_NoEntryforVehicleswithGrossVehicleMassofMoreThan5Tons.webp,text,NORMAL,https://drive.google.com/open?id=13YHuzAt45u45KEAoeLNWQX66Hraiv65y&usp=drive_copy,,,,,,,,,,,,,,,,,,,
73,3,"What does ""Service Sign (Advance Sign with Name of Service)"" mean?",expert16_ServiceSign(AdvanceSignwithNameofService).png,text,NORMAL,https://drive.google.com/open?id=103w5LgcoTOHj9YZbQmo-Zy8us3A038TZ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
74,3,"Which of the following does the ""Prohibited on Expressway"" sign mean?",expert17_ProhibitedonExpressway.png,text,NORMAL,https://drive.google.com/open?id=1LNyyXq9jBJCO9qacEfed0KlYypCq997p&usp=drive_copy,,,,,,,,,,,,,,,,,,,
75,3,"What does the ""Exit Advance Sign (With Distance)"" mean?",expert18_ExitAdvanceSign(With Distance).png,text,NORMAL,https://drive.google.com/open?id=1pfNAHSpWu4aN_TVbdnOu-8lsLpGEqVdB&usp=drive_copy,,,,,,,,,,,,,,,,,,,
76,3,"What is the meaning of the ""Exit Direction Sign (For Numbered Exits)""?",expert24_ExitDirectionSignForNumberedExits.webp,text,NORMAL,https://drive.google.com/open?id=1mu1Vkka7Xf08EbZF_msupdk2I_oEpQsF&usp=drive_copy,,,,,,,,,,,,,,,,,,,
77,3,"What does the ""Slow Vehicles Use Right Lane"" sign mean?",expert28_SlowVehiclesUseRightLane.png,text,NORMAL,https://drive.google.com/open?id=1JSuUUW_yrnU6bvJu7YolQQVsE0lwVWeg&usp=drive_copy,,,,,,,,,,,,,,,,,,,
78,1,You are driving in the direction to an intersection when you see a STOP sign and there are no other vehicles nor pedestrians about. What do you do?,beginner1_stopsign.png,text,SITUATIONAL,https://drive.google.com/file/d/12JeTSvG-7WCEf7phzqQvIxUdUycaztpO/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
79,1,You approach an intersection with a GIVE WAY sign and find that another vehicle is approaching from the left. What do you do?,beginner2_giveway.png,text,SITUATIONAL,https://drive.google.com/file/d/1RkrvVP6UGmW4ePa0GCfMTD_oO-7-8cC4/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
80,1,You are going to turn left at an intersection. You observe a LEFT TURNER MUST GIVE WAY sign. An opposing vehicle is moving toward you. What do you do?,beginner3_leftturner.png,text,SITUATIONAL,https://drive.google.com/file/d/1P4Yln_Fu2SGdYqHCHHaoJ1PG80Hky1wT/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
81,1,You turn into a ONE-WAY street by mistake and see vehicles coming towards you. What do you do?,beginner5_oneway.png,text,SITUATIONAL,https://drive.google.com/file/d/1196asWzFxBxH-uF5z41Bz3G3v8XmLZtG/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
82,1,You are driving on a two-lane road and notice a KEEP RIGHT sign. What do you do?,beginner6_keepright.png,text,SITUATIONAL,https://drive.google.com/file/d/1C4kCqOWZyglSaC1sZZQ4WJc-FSu1lLbY/view?usp=drive_link,,,,,,,,,,,,,,,,,,,
